Municipality,Year,Beds
Ajdovščina,2020,912
Miren-Kostanjevica,2020,229
Nova Gorica,2020,2227
Renče-Vogrsko,2020,0
Šempeter-Vrtojba,2020,0
Vipava,2020,440
Ajdovščina,2021,909
Miren-Kostanjevica,2021,228
Nova Gorica,2021,2195
Renče-Vogrsko,2021,0
Šempeter-Vrtojba,2021,0
Vipava,2021,432
Ajdovščina,2022,986
Miren-Kostanjevica,2022,240
Nova Gorica,2022,2363
Renče-Vogrsko,2022,163
Šempeter-Vrtojba,2022,104
Vipava,2022,453
Ajdovščina,2023,988
Miren-Kostanjevica,2023,286
Nova Gorica,2023,2368
Renče-Vogrsko,2023,143
Šempeter-Vrtojba,2023,96
Vipava,2023,592
Ajdovščina,2024,1100
Miren-Kostanjevica,2024,377
Nova Gorica,2024,2358
Renče-Vogrsko,2024,158
Šempeter-Vrtojba,2024,112
Vipava,2024,607
