station name,month,Precipitation Amount [mm],Maximum Precipitation [mm],Maximum Snow Depth [cm],Number of Days With Gale-Force Wind,Number of Days With a Thunderstorm,Number of Days With Precipitation >0.1 mm,Number of Days With Precipitation >1 mm,Number of Days With Precipitation >10 mm,Number of Days With Precipitation >20 mm,Number of Days With Snowfall >0.1 mm,Number of Days With Snow Cover,Number of Days With Fog,Number of Days With Hail
Hrušica pri Colu,2020/01,54,32,1,0,0,6,6,2,1,1,1,0,0
Hrušica pri Colu,2020/02,96.3,17,4,0,0,14,13,4,0,2,4,8,1
Hrušica pri Colu,2020/03,179,77.1,5,0,0,14,9,4,3,7,7,0,0
Hrušica pri Colu,2020/04,26.4,16,0,0,0,5,4,1,0,1,0,2,0
Hrušica pri Colu,2020/05,216.2,62.1,0,0,0,13,12,6,3,0,0,4,0
Hrušica pri Colu,2020/06,285.3,66.5,0,0,2,14,14,8,3,0,0,0,0
Hrušica pri Colu,2020/07,98.6,32.5,0,0,3,11,9,4,1,0,0,0,0
Hrušica pri Colu,2020/08,223.4,88.5,0,0,2,12,10,5,4,0,0,0,0
Hrušica pri Colu,2020/09,242.8,88.2,0,0,1,9,8,6,4,0,0,0,0
Hrušica pri Colu,2020/10,297,90.3,2,0,0,18,14,7,5,0,1,5,0
Hrušica pri Colu,2020/11,61.9,54,0,0,0,6,4,1,1,0,0,8,0
Hrušica pri Colu,2020/12,350.7,62.1,27,0,0,22,20,9,7,8,20,8,0
Hrušica pri Colu,2021/01,194.1,31.6,24,0,0,18,15,7,4,9,29,4,0
Hrušica pri Colu,2021/02,202.9,72,3,0,0,12,11,5,5,2,2,8,0
Hrušica pri Colu,2021/03,47.1,14,10,0,0,7,6,3,0,4,10,0,0
Hrušica pri Colu,2021/04,155.3,64,24,0,0,14,12,5,3,3,6,4,0
Hrušica pri Colu,2021/05,379.6,68.2,3,0,0,22,20,11,8,1,1,9,0
Hrušica pri Colu,2021/06,33.7,22.1,0,0,0,5,4,1,1,0,0,1,0
Hrušica pri Colu,2021/07,209,56,0,0,0,15,13,7,3,0,0,0,0
Hrušica pri Colu,2021/08,107.8,34.1,0,0,0,12,11,4,1,0,0,2,0
Hrušica pri Colu,2021/09,78,30,0,0,0,7,6,3,2,0,0,0,0
Hrušica pri Colu,2021/10,110.8,39.2,0,0,0,13,8,4,2,0,0,8,0
Hrušica pri Colu,2021/11,202.5,45.1,16,0,0,14,10,6,5,1,2,11,0
Hrušica pri Colu,2021/12,177,44,45,0,0,12,11,7,3,5,28,6,0
Hrušica pri Colu,2022/01,70.7,35.5,18,0,0,4,3,2,2,1,21,4,0
Hrušica pri Colu,2022/02,80.7,21.8,6,0,0,10,8,3,2,2,10,3,0
Hrušica pri Colu,2022/03,13,13,0,0,0,1,1,1,0,0,0,1,0
Hrušica pri Colu,2022/04,132.5,47.1,3,0,0,13,11,3,1,4,6,6,0
Hrušica pri Colu,2022/05,67.4,16.7,0,0,0,12,10,2,0,0,0,7,0
Hrušica pri Colu,2022/06,88.6,29.8,0,0,0,10,7,3,3,0,0,0,0
Hrušica pri Colu,2022/07,61.7,12.3,0,0,0,13,9,2,0,0,0,0,0
Hrušica pri Colu,2022/08,78,29.7,0,0,0,9,8,3,1,0,0,1,0
Hrušica pri Colu,2022/09,414.9,83.6,0,0,0,15,15,14,8,0,0,0,1
Hrušica pri Colu,2022/10,88.1,30,0,0,0,6,4,3,3,0,0,2,0
Hrušica pri Colu,2022/11,134.8,24.7,12,0,0,15,14,5,1,2,7,13,0
Hrušica pri Colu,2022/12,380.4,85,20,0,0,24,22,10,7,8,18,21,0
Hrušica pri Colu,2023/01,254.4,68.3,55,0,0,20,14,6,6,9,16,13,0
Hrušica pri Colu,2023/02,18.3,13,50,0,0,5,3,1,0,3,24,12,0
Hrušica pri Colu,2023/03,120.1,47.8,14,0,1,14,9,4,2,4,5,8,1
Hrušica pri Colu,2023/04,175.6,80.5,18,0,2,13,10,3,3,1,3,2,1
Hrušica pri Colu,2023/05,154.5,40.2,0,0,0,12,9,8,1,0,0,8,0
Hrušica pri Colu,2023/06,117.5,47.2,0,0,0,12,10,4,1,0,0,1,0
Hrušica pri Colu,2023/07,165,25.1,0,4,6,18,14,6,3,0,0,0,0
Hrušica pri Colu,2023/08,265.9,73.2,0,1,3,12,10,7,4,0,0,0,1
Hrušica pri Colu,2023/09,103.5,33.8,0,0,0,11,10,3,1,0,0,0,0
Hrušica pri Colu,2023/10,399.9,66.5,0,0,0,14,13,10,8,0,0,2,0
Hrušica pri Colu,2023/11,271.3,56.5,0,0,2,19,15,8,5,0,0,4,1
Hrušica pri Colu,2023/12,264.6,69.1,21,0,0,13,12,5,5,6,10,6,0
Hrušica pri Colu,2024/01,236.4,68.3,12,0,0,13,11,7,5,2,13,7,0
Hrušica pri Colu,2024/02,171.9,42,2,0,0,16,12,5,4,0,5,14,0
Hrušica pri Colu,2024/03,209,55.5,14,0,0,20,15,7,4,1,3,15,0
Hrušica pri Colu,2024/04,135.1,48.5,24,0,0,9,8,5,2,5,7,1,0
Hrušica pri Colu,2024/05,263,48.8,0,0,0,19,16,10,5,0,0,7,0
Hrušica pri Colu,2024/06,174.3,78.2,0,0,0,12,11,3,2,0,0,1,0
Hrušica pri Colu,2024/07,63.5,28.6,0,0,0,7,7,2,2,0,0,0,0
Hrušica pri Colu,2024/08,77.1,42.2,0,0,2,6,5,2,2,0,0,0,0
Hrušica pri Colu,2024/09,324.9,69,0,0,1,17,15,9,5,0,0,0,0
Hrušica pri Colu,2024/10,328.1,82,0,0,1,18,15,7,5,0,0,8,0
Hrušica pri Colu,2024/11,130.2,50.8,3,0,0,8,7,4,2,1,1,3,0
Hrušica pri Colu,2024/12,89.1,51,41,0,0,8,8,2,2,7,25,0,0
Hrušica pri Colu,2025/01,355.4,64,19,0,0,16,14,10,6,3,16,6,0
Hrušica pri Colu,2025/02,117.6,45.5,10,0,0,13,12,3,2,1,9,4,0
Hrušica pri Colu,2025/03,308.3,63.4,0,0,0,17,14,10,6,0,0,3,0
Hrušica pri Colu,2025/04,139.7,48,0,0,0,10,8,4,2,0,0,3,0
Hrušica pri Colu,2025/05,170.9,47.5,0,0,0,18,14,5,2,0,0,5,1
Hrušica pri Colu,2025/06,45.2,42,0,0,1,5,2,1,1,0,0,0,1
Hrušica pri Colu,2025/07,247.5,94.3,0,0,3,18,16,6,3,0,0,1,0
Hrušica pri Colu,2025/08,214.2,57.5,0,0,0,12,12,7,3,0,0,5,0
Hrušica pri Colu,2025/09,150.7,66.3,0,0,0,16,10,5,3,0,0,0,0
