station name,month,Precipitation Amount [mm],Maximum Precipitation [mm],Maximum Snow Depth [cm],Number of Days With Gale-Force Wind,Number of Days With a Thunderstorm,Number of Days With Precipitation >0.1 mm,Number of Days With Precipitation >1 mm,Number of Days With Precipitation >10 mm,Number of Days With Precipitation >20 mm,Number of Days With Snowfall >0.1 mm,Number of Days With Snow Cover,Number of Days With Fog,Number of Days With Hail
Lokve,2020/01,115.8,86.2,1,2,0,6,6,2,1,1,1,0,0
Lokve,2020/02,95.4,30.4,2,0,0,13,13,2,1,4,4,6,1
Lokve,2020/03,284.7,136.6,8,0,0,14,9,6,3,7,9,1,0
Lokve,2020/04,77.2,67.6,0,0,0,7,4,1,1,1,0,1,1
Lokve,2020/05,180.2,44,0,0,0,14,12,6,4,0,0,1,1
Lokve,2020/06,312.2,108.8,0,1,1,18,16,6,4,0,0,0,0
Lokve,2020/07,121,38.4,0,0,6,11,10,4,2,0,0,0,0
Lokve,2020/08,186.6,72.8,0,0,7,12,10,6,2,0,0,0,0
Lokve,2020/09,398.8,136.4,0,0,2,10,8,7,6,0,0,1,0
Lokve,2020/10,454.6,146.2,2,0,0,18,18,10,7,0,1,5,0
Lokve,2020/11,58,52.2,0,0,0,4,3,1,1,0,0,0,0
Lokve,2020/12,460.2,123.4,62,0,0,17,17,9,8,7,27,8,0
Lokve,2021/01,330.6,79.4,75,0,0,16,16,8,6,11,31,1,0
Lokve,2021/02,325.4,124,35,0,0,8,8,5,5,1,8,6,1
Lokve,2021/03,44,26.6,12,0,0,5,3,2,1,2,8,0,1
Lokve,2021/04,205.1,92.2,24,0,0,15,11,5,2,4,11,0,1
Lokve,2021/05,479.4,84.4,1,0,1,22,20,12,9,1,1,2,1
Lokve,2021/06,27.4,16.2,0,0,2,5,3,1,0,0,0,0,0
Lokve,2021/07,122.8,38,0,0,5,16,11,5,1,0,0,0,0
Lokve,2021/08,144.4,27.2,0,0,5,14,14,6,3,0,0,0,0
Lokve,2021/09,145.4,56.8,0,0,2,7,7,3,3,0,0,1,0
Lokve,2021/10,142.4,66.2,0,0,0,7,5,3,2,0,0,0,0
Lokve,2021/11,244,69.2,20,0,0,13,9,6,6,1,2,4,0
Lokve,2021/12,173.4,46.8,50,0,0,10,9,6,3,5,31,3,0
Lokve,2022/01,98,53.4,20,0,0,4,4,2,2,1,30,4,0
Lokve,2022/02,99.2,31.6,10,0,0,9,8,3,2,3,15,3,0
Lokve,2022/03,22.6,20.4,6,0,0,2,2,1,1,0,3,1,0
Lokve,2022/04,214.2,39.6,16,0,0,14,14,7,5,5,10,2,0
Lokve,2022/05,63.7,16.8,0,0,0,14,10,1,0,0,0,0,0
Lokve,2022/06,114.2,39.4,0,0,2,12,9,3,2,0,0,0,0
Lokve,2022/07,48.8,10.8,0,0,2,10,10,1,0,0,0,0,0
Lokve,2022/08,97.4,47.6,0,0,2,10,7,3,2,0,0,0,1
Lokve,2022/09,573.2,186.6,0,0,5,16,14,10,8,0,0,1,0
Lokve,2022/10,153.2,69.2,0,0,0,7,6,4,3,0,0,2,0
Lokve,2022/11,217.3,48.4,10,0,0,16,14,8,4,2,9,3,0
Lokve,2022/12,383.6,119.2,20,0,0,22,20,8,5,4,11,9,0
Lokve,2023/01,313.8,98,90,0,0,17,14,10,3,8,16,10,0
Lokve,2023/02,9,4.4,70,0,0,5,2,0,0,3,28,4,0
Lokve,2023/03,142.1,43.6,30,0,2,13,9,5,3,2,8,2,2
Lokve,2023/04,205,90.8,6,0,0,15,15,5,2,2,3,0,0
Lokve,2023/05,172.7,42.4,0,0,0,16,12,7,3,0,0,3,0
Lokve,2023/06,213.8,58.4,0,0,4,17,15,5,4,0,0,0,0
Lokve,2023/07,335.4,64.8,0,0,7,18,16,9,6,0,0,0,3
Lokve,2023/08,424.4,134.6,0,0,9,12,11,10,6,0,0,0,1
Lokve,2023/09,105.4,37,0,0,2,10,10,4,1,0,0,1,0
Lokve,2023/10,478,140.6,0,0,2,13,13,10,8,0,0,2,0
Lokve,2023/11,365.2,100.6,5,0,2,14,13,9,8,2,3,2,2
Lokve,2023/12,377.4,119.4,22,0,0,11,8,5,5,4,12,3,1
Lokve,2024/01,293.8,95.4,21,0,0,11,10,6,4,4,15,4,0
Lokve,2024/02,356.3,100.2,10,0,0,16,12,7,6,0,6,4,0
Lokve,2024/03,267.8,62.4,4,0,0,19,15,8,4,2,2,0,0
Lokve,2024/04,171.6,67.2,30,0,0,12,10,4,3,4,10,0,0
Lokve,2024/05,254.4,34.4,0,0,4,21,20,9,6,0,0,0,0
Lokve,2024/06,186.4,70,0,0,2,13,11,6,3,0,0,0,0
Lokve,2024/07,70.6,23.4,0,0,3,8,7,3,1,0,0,0,0
Lokve,2024/08,100,49.6,0,0,6,10,7,3,1,0,0,0,0
Lokve,2024/09,378.4,80,0,0,8,16,16,9,7,0,0,0,0
Lokve,2024/10,496.8,152.6,0,0,2,16,16,10,7,0,0,2,0
Lokve,2024/11,95.8,33.2,9,0,0,7,7,3,3,2,4,1,0
Lokve,2024/12,114.6,64.6,50,0,0,6,6,2,2,6,22,0,0
Lokve,2025/01,498.8,132,20,0,0,13,12,10,8,1,7,8,0
Lokve,2025/02,113.3,37.4,6,1,0,11,8,5,2,3,8,4,0
Lokve,2025/03,383.3,92.8,0,0,0,17,14,8,7,0,0,0,1
Lokve,2025/04,227.6,65.8,0,0,0,10,9,5,4,0,0,0,0
Lokve,2025/05,261,61.4,0,0,0,17,16,5,5,0,0,0,2
Lokve,2025/06,74.8,61.6,0,0,1,8,5,1,1,0,0,0,1
Lokve,2025/07,238.3,61.4,0,0,5,19,16,8,4,0,0,0,0
Lokve,2025/08,210.1,47,0,0,4,14,13,8,4,0,0,1,0
