station name,month,Precipitation Amount [mm],Maximum Precipitation [mm],Maximum Snow Depth [cm],Number of Days With Gale-Force Wind,Number of Days With a Thunderstorm,Number of Days With Precipitation >0.1 mm,Number of Days With Precipitation >1 mm,Number of Days With Precipitation >10 mm,Number of Days With Precipitation >20 mm,Number of Days With Snowfall >0.1 mm,Number of Days With Snow Cover,Number of Days With Fog,Number of Days With Hail
Opatje selo,2020/01,19.8,8.4,0,0,0,6,4,0,0,0,0,3,0
Opatje selo,2020/02,25.5,12.2,0,0,1,8,5,1,0,0,0,4,0
Opatje selo,2020/03,119.9,56.6,0,0,0,8,7,3,3,0,0,0,0
Opatje selo,2020/04,14,14,0,0,1,1,1,1,0,0,0,0,0
Opatje selo,2020/05,87.6,24.6,0,0,0,12,11,3,1,0,0,0,1
Opatje selo,2020/06,172.3,44.7,0,0,3,15,14,5,3,0,0,0,0
Opatje selo,2020/07,78.2,28.4,0,0,6,9,9,3,1,0,0,0,0
Opatje selo,2020/08,152.5,41.8,0,0,7,9,9,6,3,0,0,0,2
Opatje selo,2020/09,280.3,141.4,0,0,2,7,7,5,3,0,0,0,0
Opatje selo,2020/10,225.1,66.5,0,0,2,17,16,6,4,0,0,0,0
Opatje selo,2020/11,38.8,36.6,0,0,0,2,2,1,1,0,0,0,0
Opatje selo,2020/12,314.1,107.8,0,0,3,15,15,6,2,0,0,1,0
Opatje selo,2021/01,167.8,49.8,0,0,1,13,9,6,3,0,0,0,0
Opatje selo,2021/02,122.7,32.6,0,0,0,10,5,5,4,0,0,0,0
Opatje selo,2021/03,34.8,24.8,0,0,0,3,2,1,1,0,0,0,0
Opatje selo,2021/04,135.7,75,0,0,0,11,7,2,2,0,0,0,0
Opatje selo,2021/05,193.7,33.4,0,0,2,21,18,7,3,0,0,0,0
Opatje selo,2021/06,12.7,7.1,0,0,1,2,2,0,0,0,0,0,0
Opatje selo,2021/07,91.2,44.1,0,0,4,7,6,3,3,0,0,0,0
Opatje selo,2021/08,68.9,33.7,0,0,8,8,8,2,1,0,0,0,0
Opatje selo,2021/09,70.5,38.6,0,0,0,5,5,2,2,0,0,0,0
Opatje selo,2021/10,91,62,0,0,1,7,4,3,1,0,0,0,0
Opatje selo,2021/11,149.1,41.3,0,0,3,10,10,5,2,1,0,1,0
Opatje selo,2021/12,86.6,38.6,0,0,0,12,8,2,1,0,0,2,0
Opatje selo,2022/01,38.2,32.4,0,0,1,4,4,1,1,0,0,3,0
Opatje selo,2022/02,36.4,15.4,0,0,0,8,6,1,0,0,0,1,0
Opatje selo,2022/03,8.4,8.4,0,0,0,1,1,0,0,0,0,0,0
Opatje selo,2022/04,104.3,36.4,0,0,1,10,8,3,1,0,0,0,0
Opatje selo,2022/05,19.5,5.1,0,0,1,8,6,0,0,0,0,0,0
Opatje selo,2022/06,58.4,22.2,0,0,3,7,5,3,1,0,0,0,0
Opatje selo,2022/07,23.3,7.9,0,0,6,7,7,0,0,0,0,0,0
Opatje selo,2022/08,87,25.8,0,0,9,12,11,2,1,0,0,0,0
Opatje selo,2022/09,306.8,78.6,0,0,6,16,15,9,5,0,0,0,0
Opatje selo,2022/10,37.3,14.7,0,0,2,4,3,2,0,0,0,1,0
Opatje selo,2022/11,103.8,24.4,0,0,2,14,12,4,2,0,0,0,0
Opatje selo,2022/12,155.1,50.6,0,0,1,17,15,5,4,0,0,3,0
Opatje selo,2023/01,147.2,41.8,0,0,0,11,10,5,3,0,0,2,0
Opatje selo,2023/02,0,0,0,0,0,0,0,0,0,0,0,1,0
Opatje selo,2023/03,71.2,46.6,0,0,0,7,6,2,1,0,0,0,0
Opatje selo,2023/04,118.4,47.4,0,0,2,10,9,3,3,0,0,0,0
Opatje selo,2023/05,125.4,46.8,0,0,1,13,12,3,1,0,0,0,0
Opatje selo,2023/06,129.5,31.4,0,0,7,14,10,5,3,0,0,0,1
Opatje selo,2023/07,194.2,45.2,0,0,9,15,14,7,3,0,0,0,1
Opatje selo,2023/08,170,76.1,0,0,6,8,7,5,2,0,0,0,0
Opatje selo,2023/09,69.2,23.8,0,0,5,6,6,4,1,0,0,0,0
Opatje selo,2023/10,172.3,45,0,0,4,12,11,8,2,0,0,0,0
Opatje selo,2023/11,181.5,58.1,0,0,2,10,9,4,3,0,0,0,0
Opatje selo,2023/12,132.6,61.3,0,0,0,8,7,3,3,0,0,0,0
Opatje selo,2024/01,133.2,41,0,0,0,7,7,5,4,0,0,0,0
Opatje selo,2024/02,95.1,27.8,0,0,0,8,7,4,2,0,0,0,0
Opatje selo,2024/03,142.9,24.8,0,0,0,16,13,6,2,0,0,0,0
Opatje selo,2024/04,85,34.8,0,0,1,7,7,3,1,0,0,0,0
Opatje selo,2024/05,134.2,26,0,0,2,13,11,7,2,0,0,0,0
Opatje selo,2024/06,163.3,93.6,0,0,4,10,10,3,2,0,0,0,0
Opatje selo,2024/07,68.6,43,0,0,2,5,5,2,1,0,0,0,1
Opatje selo,2024/08,25.7,12.7,0,0,0,4,4,2,0,0,0,0,0
Opatje selo,2024/09,196.2,64,0,0,1,12,10,6,3,0,0,0,0
Opatje selo,2024/10,243.4,68,0,0,0,14,11,8,4,0,0,0,0
Opatje selo,2024/11,45.3,28.2,0,0,0,7,5,2,1,0,0,0,0
Opatje selo,2024/12,81.8,52,0,0,1,4,4,2,2,0,0,0,0
Opatje selo,2025/01,159.1,56.2,0,0,1,10,10,6,2,0,0,0,0
Opatje selo,2025/02,48.3,28,0,0,0,9,8,1,1,0,0,0,0
Opatje selo,2025/03,205,53.7,0,0,0,11,11,7,5,0,0,0,0
Opatje selo,2025/04,98.3,45,0,0,0,8,7,3,2,0,0,0,1
Opatje selo,2025/05,108.6,33.7,0,0,0,12,12,3,2,0,0,0,0
Opatje selo,2025/06,29.6,22.7,0,0,1,3,3,1,1,0,0,0,0
Opatje selo,2025/07,128.7,34.5,0,0,4,13,12,3,2,0,0,0,0
Opatje selo,2025/08,87.9,23.2,0,0,3,12,11,4,1,0,0,0,0
Opatje selo,2025/09,239.7,63.3,0,0,5,10,8,6,5,0,0,0,0
