station name,month,Precipitation Amount [mm],Maximum Precipitation [mm],Maximum Snow Depth [cm],Number of Days With Gale-Force Wind,Number of Days With a Thunderstorm,Number of Days With Precipitation >0.1 mm,Number of Days With Precipitation >1 mm,Number of Days With Precipitation >10 mm,Number of Days With Precipitation >20 mm,Number of Days With Snowfall >0.1 mm,Number of Days With Snow Cover,Number of Days With Fog,Number of Days With Hail
Otlica,2020/01,84.4,37.6,1,0,0,6,6,4,1,1,4,8,0
Otlica,2020/02,90,21.7,2,0,1,13,12,4,1,3,2,12,0
Otlica,2020/03,234,115.5,4,0,0,15,10,5,4,7,6,5,0
Otlica,2020/04,46,26,2,0,2,5,5,2,1,1,2,3,0
Otlica,2020/05,239.2,66.6,0,0,6,14,12,7,4,0,0,3,0
Otlica,2020/06,291.5,93.7,0,0,9,20,16,5,3,0,0,4,1
Otlica,2020/07,133.3,52.9,0,0,10,10,8,3,2,0,0,0,0
Otlica,2020/08,98.5,29.2,0,0,14,11,9,3,1,0,0,0,0
Otlica,2020/09,466.1,155.4,0,0,4,12,10,7,5,0,0,2,0
Otlica,2020/10,375.1,104.5,7,0,5,19,16,8,7,1,2,7,1
Otlica,2020/11,74.7,70.9,0,0,0,5,2,1,1,0,0,3,0
Otlica,2020/12,319.6,56.9,26,0,3,21,19,9,6,11,25,12,1
Otlica,2021/01,234.3,58.1,27,0,1,16,15,8,5,11,31,10,0
Otlica,2021/02,232,62.7,1,0,1,11,9,5,5,2,6,13,0
Otlica,2021/03,43.2,20.1,12,0,1,6,4,2,1,4,13,2,0
Otlica,2021/04,200.1,94,22,0,3,15,10,5,3,4,9,5,1
Otlica,2021/05,522.9,99.1,1,0,8,25,19,13,8,2,1,10,0
Otlica,2021/06,36.2,18.3,0,0,9,8,4,2,0,0,0,0,0
Otlica,2021/07,121.9,43.3,0,0,12,17,12,2,2,0,0,0,0
Otlica,2021/08,115.3,27.3,0,0,11,12,8,5,3,0,0,0,0
Otlica,2021/09,134.6,55,0,0,5,7,6,3,3,0,0,4,0
Otlica,2021/10,152.3,56.2,0,0,1,11,6,4,4,0,0,2,0
Otlica,2021/11,240.3,78.9,21,0,2,14,9,6,5,1,2,7,0
Otlica,2021/12,177.2,29,48,0,0,12,10,7,5,5,31,8,1
Otlica,2022/01,64.1,30.7,14,0,1,6,3,2,2,3,31,6,0
Otlica,2022/02,86.5,31,9,0,0,10,8,2,2,5,16,11,0
Otlica,2022/03,22.2,22.2,5,0,0,1,1,1,1,0,9,2,0
Otlica,2022/04,168.1,32.3,11,0,0,13,13,7,4,5,11,4,0
Otlica,2022/05,55.5,11.3,0,0,7,13,10,1,0,0,0,0,0
Otlica,2022/06,74.6,31.1,0,0,10,13,7,2,2,0,0,1,0
Otlica,2022/07,60.6,14,0,0,10,12,10,1,0,0,0,0,0
Otlica,2022/08,118,54.8,0,1,8,12,7,2,2,0,0,0,0
Otlica,2022/09,601,127,0,0,10,16,15,13,8,0,0,4,1
Otlica,2022/10,91.2,34,0,0,1,7,5,3,2,0,0,6,0
Otlica,2022/11,153,26.5,11,0,0,16,14,7,2,3,10,7,0
Otlica,2022/12,436,123.5,12,0,1,25,20,8,7,9,17,13,1
Otlica,2023/01,294.6,76.4,88,0,1,22,15,8,6,13,16,13,0
Otlica,2023/02,7.1,2.9,73,0,0,7,3,0,0,3,28,7,0
Otlica,2023/03,136,38.8,7,0,2,14,8,5,4,7,8,6,1
Otlica,2023/04,172.4,85.9,9,0,2,15,9,3,3,1,4,0,0
Otlica,2023/05,131,28.7,0,0,2,15,12,6,2,0,0,0,0
Otlica,2023/06,122.2,53.2,0,0,13,15,11,4,1,0,0,0,0
Otlica,2023/07,247.6,57.3,0,0,16,18,16,8,4,0,0,0,1
Otlica,2023/08,336.2,78.3,0,0,11,13,12,8,5,0,0,0,1
Otlica,2023/09,132.8,38.1,0,0,4,10,10,4,2,0,0,3,0
Otlica,2023/10,461.9,120,0,0,4,14,12,7,7,0,0,14,0
Otlica,2023/11,309.8,61,1,0,3,17,14,8,5,3,1,14,1
Otlica,2023/12,317.1,104.4,15,0,1,12,9,5,5,5,11,13,0
Otlica,2024/01,241.9,85,14,0,0,11,9,6,5,4,13,8,0
Otlica,2024/02,193.5,45.3,4,0,1,15,11,6,5,0,2,9,1
Otlica,2024/03,229.1,48.9,3,0,2,18,13,8,5,3,2,4,1
Otlica,2024/04,147,60,27,0,2,11,8,5,2,7,9,0,1
Otlica,2024/05,235.6,31.7,0,0,11,19,18,9,6,0,0,2,0
Otlica,2024/06,286.2,134.6,0,0,7,14,10,5,5,0,0,2,0
Otlica,2024/07,78.9,17.5,0,0,5,8,7,4,0,0,0,0,0
Otlica,2024/08,105,39.9,0,0,8,7,6,3,2,0,0,0,0
Otlica,2024/09,497.6,91.5,0,0,10,21,17,10,9,0,0,4,0
Otlica,2024/10,397.6,118.9,0,0,2,17,15,9,6,0,0,5,0
Otlica,2024/11,108,46,7,0,0,7,7,2,2,2,2,6,0
Otlica,2024/12,101.6,76,40,0,0,8,6,2,1,8,25,2,0
Otlica,2025/01,382.4,101.3,10,0,1,16,14,10,7,3,12,14,0
Otlica,2025/02,136.3,46.5,8,0,0,14,10,5,2,4,9,6,1
Otlica,2025/03,368.8,87.9,2,0,0,19,15,10,6,2,2,6,0
Otlica,2025/04,155.6,50,0,0,1,10,7,4,3,0,0,4,0
Otlica,2025/05,186.5,45.2,0,0,6,17,15,6,3,0,0,0,0
Otlica,2025/06,45,31.8,0,0,6,6,4,2,1,0,0,0,0
Otlica,2025/07,295.2,162.4,0,0,10,15,13,4,2,0,0,0,1
Otlica,2025/08,214.7,62.1,0,0,9,14,12,7,4,0,0,1,0
Otlica,2025/09,301.4,136.4,0,0,6,14,11,5,2,0,0,4,0
