station name,month,Precipitation Amount [mm],Maximum Precipitation [mm],Maximum Snow Depth [cm],Number of Days With Gale-Force Wind,Number of Days With a Thunderstorm,Number of Days With Precipitation >0.1 mm,Number of Days With Precipitation >1 mm,Number of Days With Precipitation >10 mm,Number of Days With Precipitation >20 mm,Number of Days With Snowfall >0.1 mm,Number of Days With Snow Cover,Number of Days With Fog,Number of Days With Hail
Podraga,2020/01,26.2,10,0,0,0,5,5,2,0,0,0,0,0
Podraga,2020/02,51.1,10,0,0,1,12,9,1,0,0,0,0,1
Podraga,2020/03,103,52.1,1,0,0,10,6,4,1,1,1,0,0
Podraga,2020/04,12.1,6,0,0,0,4,2,0,0,0,0,0,0
Podraga,2020/05,122.6,49.8,0,0,1,12,11,3,2,0,0,0,0
Podraga,2020/06,270,65.4,0,0,5,18,16,5,4,0,0,0,1
Podraga,2020/07,61.5,27,0,0,2,8,6,2,1,0,0,0,0
Podraga,2020/08,109.3,37.7,0,0,8,9,8,4,2,0,0,0,1
Podraga,2020/09,144.8,53.2,0,0,2,8,8,6,3,0,0,0,0
Podraga,2020/10,159.2,42.8,0,0,1,16,16,6,4,0,0,0,0
Podraga,2020/11,58.9,56.6,0,0,0,2,2,1,1,0,0,0,0
Podraga,2020/12,231.7,65,3,0,3,16,12,7,4,2,2,0,0
Podraga,2021/01,96,17.9,0,0,1,15,14,3,0,0,0,0,0
Podraga,2021/02,135.1,29.5,0,0,0,8,7,5,5,0,0,0,0
Podraga,2021/03,30.4,17.2,0,0,0,4,4,1,0,0,0,0,0
Podraga,2021/04,106.2,52.6,0,0,1,9,9,4,1,0,0,0,0
Podraga,2021/05,285.2,54.7,0,0,2,17,17,12,5,0,0,0,0
Podraga,2021/06,8.2,4.3,0,0,1,3,2,0,0,0,0,0,0
Podraga,2021/07,123.3,51.2,0,0,4,10,9,3,2,0,0,0,0
Podraga,2021/08,117.8,67.5,0,0,5,10,6,2,2,0,0,0,0
Podraga,2021/09,72.9,39,0,0,2,6,4,2,2,0,0,0,0
Podraga,2021/10,46.7,23.3,0,0,0,7,5,1,1,0,0,0,0
Podraga,2021/11,127.5,30.4,0,0,2,8,8,6,4,0,0,0,0
Podraga,2021/12,138.5,30.6,0,0,0,12,10,5,3,0,0,0,0
Podraga,2022/01,29.4,14.4,0,0,0,4,4,2,0,0,0,0,0
Podraga,2022/02,54.9,17.4,0,0,0,12,7,2,0,0,0,0,0
Podraga,2022/03,12.5,12.5,0,0,0,1,1,1,0,0,0,0,0
Podraga,2022/04,93.3,30.8,0,0,0,12,9,4,1,0,0,0,0
Podraga,2022/05,25.6,6.5,0,0,2,9,7,0,0,0,0,0,0
Podraga,2022/06,58.8,33.1,0,0,2,7,5,2,1,0,0,0,0
Podraga,2022/07,81.1,21.7,0,0,7,11,8,3,1,0,0,0,0
Podraga,2022/08,67.8,37.3,0,0,1,8,5,2,1,0,0,0,0
Podraga,2022/09,310.9,112.8,0,0,6,13,13,9,5,0,0,0,0
Podraga,2022/10,70.3,35.8,0,0,1,6,5,2,2,0,0,0,0
Podraga,2022/11,87.6,18.4,0,1,0,14,14,2,0,0,0,0,0
Podraga,2022/12,247.5,66.5,0,0,0,21,18,5,4,0,0,0,0
Podraga,2023/01,183.1,44.3,0,0,1,16,12,5,4,0,0,0,0
Podraga,2023/02,21.3,19,0,0,0,4,1,1,0,0,0,0,0
Podraga,2023/03,73.7,26.9,0,0,1,12,10,2,1,0,0,1,2
Podraga,2023/04,103.6,38.8,0,0,0,11,7,3,2,0,0,0,0
Podraga,2023/05,58.9,12.5,0,0,0,9,9,3,0,0,0,0,0
Podraga,2023/06,47.6,28.4,0,0,0,8,5,2,1,0,0,0,0
Podraga,2023/07,124.7,18,0,1,7,13,11,7,0,0,0,0,1
Podraga,2023/08,242.9,97.7,0,1,6,12,10,6,4,0,0,0,0
Podraga,2023/09,98.7,36.8,0,0,2,10,9,4,1,0,0,0,0
Podraga,2023/10,280.1,59.4,0,0,4,12,12,9,8,0,0,0,0
Podraga,2023/11,162.7,40.5,0,0,1,14,11,6,3,0,0,0,0
Podraga,2023/12,220,94.2,0,0,1,11,9,6,3,0,0,0,1
Podraga,2024/01,153.2,44.4,0,0,0,9,8,6,3,0,0,0,0
Podraga,2024/02,100,35.5,0,0,0,13,9,4,1,0,0,0,0
Podraga,2024/03,132.8,44.2,0,0,1,14,11,4,2,0,0,0,1
Podraga,2024/04,96.1,46,0,0,1,7,6,3,2,0,0,0,0
Podraga,2024/05,154,35.9,0,0,5,15,11,5,4,0,0,0,0
Podraga,2024/06,226.6,117.5,0,0,1,11,9,6,3,0,0,0,0
Podraga,2024/07,36.7,12.4,0,0,3,6,6,1,0,0,0,0,0
Podraga,2024/08,65.9,37.8,0,0,3,6,6,2,1,0,0,0,0
Podraga,2024/09,278.3,54.5,0,0,7,20,15,8,4,0,0,0,0
Podraga,2024/10,178,48.1,0,0,1,15,12,6,4,0,0,0,0
Podraga,2024/11,88.2,35.5,0,0,0,6,6,2,2,0,0,0,0
Podraga,2024/12,92.3,48.1,0,0,0,4,3,2,2,0,0,0,0
Podraga,2025/01,204.9,35.8,0,0,1,17,13,8,4,0,0,0,0
Podraga,2025/02,65.3,22.5,0,0,0,11,9,2,1,0,0,0,0
Podraga,2025/03,218,52.3,0,0,1,10,9,6,6,0,0,0,0
Podraga,2025/04,71.7,34.5,0,0,1,8,5,3,1,0,0,0,0
Podraga,2025/05,77.2,27.6,0,0,1,15,10,2,2,0,0,0,0
Podraga,2025/06,47.8,42.8,0,0,1,5,2,1,1,0,0,0,1
Podraga,2025/07,140.4,69.2,0,0,4,12,12,3,2,0,0,0,0
Podraga,2025/08,138.2,38.7,0,0,3,12,12,5,2,0,0,0,1
Podraga,2025/09,119,61.9,0,0,4,11,10,3,1,0,0,0,0
