station name,month,Precipitation Amount [mm],Maximum Precipitation [mm],Maximum Snow Depth [cm],Number of Days With Gale-Force Wind,Number of Days With a Thunderstorm,Number of Days With Precipitation >0.1 mm,Number of Days With Precipitation >1 mm,Number of Days With Precipitation >10 mm,Number of Days With Precipitation >20 mm,Number of Days With Snowfall >0.1 mm,Number of Days With Snow Cover,Number of Days With Fog,Number of Days With Hail
Sela na Krasu,2020/01,19.7,9,0,0,0,6,5,0,0,0,0,0,0
Sela na Krasu,2020/02,24,10.7,0,0,0,10,7,1,0,0,0,3,0
Sela na Krasu,2020/03,131.3,67.8,0,0,0,8,7,3,3,0,0,0,0
Sela na Krasu,2020/04,7.4,7.4,0,0,0,1,1,0,0,0,0,0,0
Sela na Krasu,2020/05,88.7,30.1,0,0,0,12,10,4,1,0,0,0,0
Sela na Krasu,2020/06,233.2,64.8,0,0,0,18,16,6,4,0,0,0,0
Sela na Krasu,2020/07,80.8,22.9,0,0,0,8,8,4,1,0,0,0,0
Sela na Krasu,2020/08,135.5,35.3,0,0,0,8,7,5,3,0,0,0,0
Sela na Krasu,2020/09,329.8,141.2,0,0,0,7,7,6,5,0,0,0,0
Sela na Krasu,2020/10,186.1,40.5,0,0,0,17,13,7,4,0,0,0,0
Sela na Krasu,2020/11,43.6,40,0,0,0,3,2,1,1,0,0,0,0
Sela na Krasu,2020/12,313.5,99.3,3,0,0,18,15,6,3,2,2,0,0
Sela na Krasu,2021/01,144.6,38.1,0,0,0,14,9,5,4,0,0,0,0
Sela na Krasu,2021/02,102.1,26,0,0,0,9,5,5,3,0,0,2,0
Sela na Krasu,2021/03,34.1,20,0,0,0,3,3,1,1,0,0,0,0
Sela na Krasu,2021/04,134.6,94.2,0,0,0,9,7,2,1,1,0,0,0
Sela na Krasu,2021/05,237,48.4,0,0,0,22,18,10,2,0,0,0,0
Sela na Krasu,2021/06,16.9,10,0,0,0,3,2,1,0,0,0,0,0
Sela na Krasu,2021/07,90.3,46.2,0,0,0,9,8,3,1,0,0,0,0
Sela na Krasu,2021/08,73.3,37,0,0,0,8,7,2,1,0,0,0,0
Sela na Krasu,2021/09,86.2,63,0,0,0,6,6,2,1,0,0,0,0
Sela na Krasu,2021/10,94.7,68,0,0,0,6,4,2,1,0,0,0,0
Sela na Krasu,2021/11,123.1,35.7,0,0,0,8,7,5,3,0,0,0,1
Sela na Krasu,2021/12,81.5,33.4,0,0,0,12,8,2,1,0,0,0,0
Sela na Krasu,2022/01,26.3,21.4,0,0,0,4,3,1,1,0,0,0,0
Sela na Krasu,2022/02,31.5,12.6,0,0,0,6,6,1,0,0,0,2,0
Sela na Krasu,2022/03,7.3,7.3,0,0,0,1,1,0,0,0,0,0,0
Sela na Krasu,2022/04,103.5,33.4,0,0,0,10,8,4,2,0,0,0,0
Sela na Krasu,2022/05,24.4,6,0,0,0,8,6,0,0,0,0,0,0
Sela na Krasu,2022/06,32.3,11.4,0,0,0,7,6,1,0,0,0,0,0
Sela na Krasu,2022/07,17.6,4.9,0,0,1,9,6,0,0,0,0,0,0
Sela na Krasu,2022/08,68.1,20.3,0,0,0,11,9,2,1,0,0,0,0
Sela na Krasu,2022/09,391.5,78.9,0,0,0,14,13,8,7,0,0,0,0
Sela na Krasu,2022/10,39.7,13.8,0,0,0,5,3,3,0,0,0,0,0
Sela na Krasu,2022/11,98.4,20,0,0,0,14,12,4,1,0,0,0,0
Sela na Krasu,2022/12,189.9,64.5,0,0,0,17,13,5,5,0,0,0,0
Sela na Krasu,2023/01,131.2,39.2,0,0,0,11,8,5,2,0,0,0,0
Sela na Krasu,2023/02,0,0,0,0,0,0,0,0,0,0,0,0,0
Sela na Krasu,2023/03,57.8,35.9,0,0,0,9,7,1,1,0,0,0,0
Sela na Krasu,2023/04,107.6,46,0,0,0,9,8,4,2,0,0,0,0
Sela na Krasu,2023/05,81.4,14.1,0,0,0,13,11,4,0,0,0,0,0
Sela na Krasu,2023/06,92.7,34.9,0,0,0,11,8,4,1,0,0,0,0
Sela na Krasu,2023/07,138.5,30.7,0,0,0,15,14,6,2,0,0,0,0
Sela na Krasu,2023/08,214.7,82.4,0,0,0,12,10,4,3,0,0,0,0
Sela na Krasu,2023/09,99.1,33.6,0,0,0,9,7,5,2,0,0,0,0
Sela na Krasu,2023/10,200,64.5,0,0,0,14,12,7,3,0,0,0,0
Sela na Krasu,2023/11,216.4,74.8,0,0,0,13,11,4,3,0,0,0,0
Sela na Krasu,2023/12,143.8,60.8,0,0,0,9,8,4,3,0,0,0,0
Sela na Krasu,2024/01,126.3,36.1,0,0,0,7,7,4,3,0,0,0,0
Sela na Krasu,2024/02,87.7,26.1,0,0,0,10,8,3,2,0,0,1,0
Sela na Krasu,2024/03,147.5,25.6,0,0,0,15,14,6,2,0,0,0,0
Sela na Krasu,2024/04,100,47.5,0,0,2,8,8,4,1,0,0,0,1
Sela na Krasu,2024/05,121.1,26.3,0,0,0,14,11,6,3,0,0,0,0
Sela na Krasu,2024/06,132.4,58.7,0,0,0,10,9,3,2,0,0,0,0
Sela na Krasu,2024/07,27.4,16.2,0,0,0,5,3,1,0,0,0,0,0
Sela na Krasu,2024/08,62.6,42.2,0,0,0,5,4,2,1,0,0,0,0
Sela na Krasu,2024/09,239.5,85.2,0,0,0,11,9,7,5,0,0,0,0
Sela na Krasu,2024/10,224.6,50.6,0,0,0,15,12,8,5,0,0,0,0
Sela na Krasu,2024/11,63.7,39.4,0,0,0,5,3,2,1,0,0,0,0
Sela na Krasu,2024/12,80.8,40.5,0,0,0,5,4,2,2,0,0,0,0
Sela na Krasu,2025/01,135.6,42.2,0,0,0,13,10,6,2,0,0,0,0
Sela na Krasu,2025/02,56.6,30.9,0,0,0,10,7,1,1,0,0,0,0
Sela na Krasu,2025/03,225.7,57.2,0,0,0,10,10,8,6,0,0,0,0
Sela na Krasu,2025/04,106.5,43.4,0,0,0,8,6,4,2,0,0,0,0
Sela na Krasu,2025/05,91.7,24.1,0,0,0,9,8,3,3,0,0,0,0
Sela na Krasu,2025/06,28.7,16.2,0,0,0,4,4,1,0,0,0,0,0
Sela na Krasu,2025/07,112.4,34.2,0,0,0,14,11,3,1,0,0,0,0
Sela na Krasu,2025/08,96.4,31.9,0,0,0,14,11,3,1,0,0,0,0
Sela na Krasu,2025/09,228.9,64.3,0,0,0,12,10,7,4,0,0,0,0
