station name,month,Precipitation Amount [mm],Maximum Precipitation [mm],Maximum Snow Depth [cm],Number of Days With Gale-Force Wind,Number of Days With a Thunderstorm,Number of Days With Precipitation >0.1 mm,Number of Days With Precipitation >1 mm,Number of Days With Precipitation >10 mm,Number of Days With Precipitation >20 mm,Number of Days With Snowfall >0.1 mm,Number of Days With Snow Cover,Number of Days With Fog,Number of Days With Hail
Šempas,2020/01,22.8,11,0,1,0,6,4,1,0,0,0,11,0
Šempas,2020/02,38.1,15,0,0,1,12,9,1,0,0,0,9,0
Šempas,2020/03,116.9,46,0,0,0,6,6,3,3,0,0,3,0
Šempas,2020/04,60.8,57,0,0,1,3,2,1,1,0,0,0,0
Šempas,2020/05,90.3,21.3,0,0,3,13,10,4,1,0,0,0,0
Šempas,2020/06,202,55,0,0,9,17,17,4,3,0,0,0,0
Šempas,2020/07,126.9,41,0,0,5,9,8,4,2,0,0,0,0
Šempas,2020/08,126.2,32.5,0,0,9,10,9,5,2,0,0,0,0
Šempas,2020/09,287.3,140,0,0,1,7,7,6,4,0,0,2,0
Šempas,2020/10,203.5,40.5,0,0,2,17,16,7,3,0,0,13,0
Šempas,2020/11,37.1,34,0,0,0,4,2,1,1,0,0,12,0
Šempas,2020/12,256.6,76,2,0,3,19,14,7,4,1,1,9,0
Šempas,2021/01,141.1,25.5,0,0,2,17,11,6,2,0,0,5,0
Šempas,2021/02,112.8,36.8,0,0,0,8,6,5,2,0,0,14,0
Šempas,2021/03,33.3,16.6,0,2,0,5,3,1,0,0,0,1,0
Šempas,2021/04,109.8,60,0,0,2,11,10,2,2,0,0,2,0
Šempas,2021/05,257.6,50,0,0,5,21,19,9,5,0,0,1,0
Šempas,2021/06,48,18.8,0,0,4,6,5,2,0,0,0,0,0
Šempas,2021/07,107.2,56.5,0,1,5,10,9,3,1,0,0,0,0
Šempas,2021/08,63.1,19.5,0,2,5,10,8,3,0,0,0,0,0
Šempas,2021/09,76.2,34.5,0,0,1,5,5,2,2,0,0,2,0
Šempas,2021/10,71.8,43.6,0,0,1,6,3,3,1,0,0,4,0
Šempas,2021/11,156.9,42,0,0,1,12,9,5,4,0,0,8,0
Šempas,2021/12,107.9,39,0,0,0,13,9,3,2,0,0,11,0
