station name,month,Precipitation Amount [mm],Maximum Precipitation [mm],Maximum Snow Depth [cm],Number of Days With Gale-Force Wind,Number of Days With a Thunderstorm,Number of Days With Precipitation >0.1 mm,Number of Days With Precipitation >1 mm,Number of Days With Precipitation >10 mm,Number of Days With Precipitation >20 mm,Number of Days With Snowfall >0.1 mm,Number of Days With Snow Cover,Number of Days With Fog,Number of Days With Hail
Zalošče,2020/01,39.6,26.7,0,0,0,6,4,1,1,0,0,0,0
Zalošče,2020/02,36.9,10,0,0,0,11,9,1,0,0,0,0,0
Zalošče,2020/03,126.2,67.3,0,0,0,8,6,3,2,0,0,0,0
Zalošče,2020/04,13.6,11.4,0,0,0,3,2,1,0,0,0,0,0
Zalošče,2020/05,108.4,33.5,0,0,2,12,10,4,2,0,0,0,0
Zalošče,2020/06,193.5,55,0,0,3,18,15,4,3,0,0,0,0
Zalošče,2020/07,118,46,0,0,2,9,8,4,3,0,0,0,0
Zalošče,2020/08,145.1,36.8,0,0,4,10,9,6,3,0,0,0,0
Zalošče,2020/09,339.7,165,0,0,1,7,7,7,5,0,0,0,0
Zalošče,2020/10,206.6,44.6,0,0,1,17,15,7,4,0,0,0,0
Zalošče,2020/11,46.3,44.3,0,0,0,2,2,1,1,0,0,0,0
Zalošče,2020/12,247.5,69,2,0,3,16,14,7,4,1,1,0,1
Zalošče,2021/01,156.5,24.8,0,0,1,14,10,7,5,0,0,0,0
Zalošče,2021/02,119.8,38,0,0,0,8,6,5,2,0,0,0,0
Zalošče,2021/03,30,16.2,0,0,0,4,4,1,0,0,0,0,0
Zalošče,2021/04,114.8,66.7,0,0,1,10,8,2,1,0,0,0,0
Zalošče,2021/05,232,37,0,0,5,22,19,9,5,0,0,0,1
Zalošče,2021/06,21.5,10.4,0,0,1,6,6,1,0,0,0,0,0
Zalošče,2021/07,110,68.9,0,0,2,9,7,2,2,0,0,0,1
Zalošče,2021/08,59,24.3,0,0,1,9,7,1,1,0,0,0,0
Zalošče,2021/09,58.6,28.4,0,0,1,5,5,2,1,0,0,0,0
Zalošče,2021/10,137,79.6,0,0,1,5,4,4,2,0,0,0,0
Zalošče,2021/11,166.3,44.5,0,0,3,11,9,5,4,0,0,0,1
Zalošče,2021/12,99,36.7,0,0,0,12,10,3,2,0,0,0,0
Zalošče,2022/01,32.8,21.3,0,0,1,7,4,1,1,0,0,1,0
Zalošče,2022/02,44.8,18.5,0,0,0,8,6,1,0,0,0,0,0
Zalošče,2022/03,9.6,9.6,0,0,0,1,1,0,0,0,0,0,0
Zalošče,2022/04,89,19,0,0,1,12,9,3,0,0,0,0,0
Zalošče,2022/05,33.2,10,0,0,2,11,8,1,0,0,0,0,0
Zalošče,2022/06,83.6,27.7,0,0,4,8,7,3,2,0,0,0,0
Zalošče,2022/07,46.2,12.6,0,0,2,10,9,2,0,0,0,0,1
Zalošče,2022/08,97.7,38.3,0,0,5,11,7,3,2,0,0,0,0
Zalošče,2022/09,295.8,85,0,0,4,14,13,8,5,0,0,0,0
Zalošče,2022/10,70.4,39.5,0,0,1,6,4,2,2,0,0,0,0
Zalošče,2022/11,98.4,17.5,0,0,0,13,13,4,0,0,0,0,0
Zalošče,2022/12,237,90,0,0,1,18,15,5,5,0,0,0,0
Zalošče,2023/01,162.9,54.5,0,0,0,11,10,4,3,0,0,0,0
Zalošče,2023/02,0,0,0,0,0,0,0,0,0,0,0,0,0
Zalošče,2023/03,60.5,26.8,0,0,2,11,8,1,1,0,0,0,3
Zalošče,2023/04,95.2,38.8,0,0,0,12,9,2,2,0,0,0,0
Zalošče,2023/05,77.1,15,0,0,0,14,10,3,0,0,0,0,0
Zalošče,2023/06,79.3,28,0,0,5,14,9,3,2,0,0,0,0
Zalošče,2023/07,207.6,51.4,0,0,9,14,13,7,5,0,0,0,2
Zalošče,2023/08,268.6,123,0,0,4,10,9,5,3,0,0,0,0
Zalošče,2023/09,94.5,21.8,0,0,2,10,8,3,1,0,0,0,0
Zalošče,2023/10,266.9,100,0,0,2,12,11,8,4,0,0,0,0
Zalošče,2023/11,251.2,67.5,0,0,1,13,10,4,4,0,0,0,0
Zalošče,2023/12,176,78.2,0,0,0,11,7,5,3,0,0,0,0
Zalošče,2024/01,158.9,46,0,0,1,10,7,4,4,0,0,0,0
Zalošče,2024/02,127,29,0,0,0,10,7,5,4,0,0,0,0
Zalošče,2024/03,153.6,36.6,0,0,0,16,14,5,2,0,0,0,0
Zalošče,2024/04,74.8,38.4,0,0,1,9,6,2,1,0,0,0,0
Zalošče,2024/05,162,30,0,0,2,13,12,7,4,0,0,0,0
